epoch,training_loss,training_acc,test_loss,test_acc
0,977.56616,0.79,64051.52,0.7465
0,1367.5314,0.71,64304.54,0.7475
0,1317.8015,0.735,63452.785,0.7489
0,1464.3723,0.72,64245.297,0.7465
0,1029.086,0.795,64962.125,0.7384
0,1520.2124,0.67,62913.152,0.7488
0,1396.7847,0.74,63647.63,0.7409
0,1207.3438,0.745,63333.957,0.7431
0,1305.5159,0.735,64436.816,0.7375
0,1357.0618,0.725,65444.625,0.7347
0,1528.3833,0.73,63295.188,0.7423
0,1218.7614,0.72,63752.465,0.7484
0,1261.3616,0.715,62862.355,0.747
0,1015.54364,0.795,62405.836,0.7486
0,1499.9786,0.71,62784.746,0.745
0,1208.6135,0.76,63939.48,0.7416
0,1219.7672,0.77,64900.152,0.7403
0,1172.1793,0.765,64377.582,0.7402
0,1139.2482,0.74,63662.5,0.7416
0,804.8275,0.805,62822.87,0.7427
0,1169.5651,0.755,62380.566,0.7419
0,1146.4395,0.75,63036.785,0.7407
0,1271.3201,0.74,62524.695,0.742
0,1026.157,0.79,62456.152,0.7437
0,1289.5295,0.755,61934.773,0.7453
0,1277.2529,0.735,62166.82,0.7374
0,811.5756,0.78,61333.797,0.7435
0,1042.7361,0.805,61267.234,0.7434
0,979.64294,0.8,61375.74,0.7417
0,1048.8368,0.765,61472.03,0.7429
0,1289.1874,0.74,61034.94,0.7437
0,1222.295,0.725,62628.355,0.7319
0,1267.5664,0.745,61370.188,0.7368
0,1233.9641,0.745,61772.906,0.7384
0,1316.0896,0.705,60132.574,0.7442
0,1167.5886,0.765,60432.24,0.7462
0,1355.4434,0.73,60859.87,0.7421
0,1312.2917,0.725,61823.965,0.7387
0,1235.5604,0.71,60148.64,0.7424
0,1155.7595,0.71,59745.12,0.7443
1,832.8378,0.805,59666.1,0.7439
1,1437.3787,0.71,60786.82,0.7372
1,985.1023,0.775,59669.99,0.7396
1,873.0211,0.805,59236.32,0.7451
1,1141.007,0.75,59349.227,0.7431
1,1166.3652,0.735,59836.36,0.7422
1,1231.2847,0.73,59688.555,0.7418
1,1060.9202,0.78,58837.082,0.747
1,907.3219,0.8,58902.227,0.7451
1,1187.0544,0.745,59152.695,0.7421
1,994.3358,0.74,59456.63,0.7439
1,940.7289,0.8,59148.68,0.7453
1,1266.696,0.72,60494.812,0.7454
1,1278.7708,0.74,60172.203,0.7395
1,1474.5304,0.715,60764.152,0.7351
1,1059.5192,0.78,59410.348,0.7404
1,1283.0068,0.73,59238.445,0.7407
