epoch,training_loss,training_acc,test_loss,test_acc
1,460.51788,0.12,23025.852,0.1
1,460.5136,0.135,23025.854,0.1
1,460.51984,0.075,23025.852,0.1
1,460.5169,0.125,23025.85,0.1
1,460.52374,0.07,23025.852,0.1
1,460.51263,0.12,23025.854,0.1
1,460.5144,0.125,23025.852,0.1
1,460.5171,0.11,23025.85,0.1
1,460.51892,0.095,23025.852,0.1
1,460.51074,0.145,23025.852,0.1
1,460.50778,0.135,23025.854,0.1
1,460.51532,0.12,23025.855,0.1
1,460.523,0.065,23025.852,0.1
1,460.50955,0.145,23025.854,0.1
1,460.51233,0.115,23025.855,0.1
1,460.51685,0.095,23025.854,0.1
1,460.5286,0.065,23025.852,0.1
1,460.5224,0.09,23025.852,0.1
1,460.5236,0.085,23025.854,0.1
1,460.51468,0.1,23025.854,0.1
1,460.50098,0.155,23025.852,0.1
1,460.51617,0.105,23025.854,0.1
1,460.52448,0.08,23025.854,0.1
1,460.52417,0.095,23025.852,0.1
1,460.50418,0.12,23025.852,0.1
1,460.5086,0.13,23025.854,0.1
1,460.53793,0.055,23025.852,0.1
1,460.5037,0.13,23025.854,0.1
1,460.52725,0.08,23025.854,0.1
1,460.50427,0.135,23025.85,0.1
1,460.52954,0.06,23025.852,0.1
1,460.52118,0.05,23025.852,0.1
1,460.5135,0.11,23025.855,0.1
1,460.5241,0.08,23025.854,0.1
1,460.52704,0.085,23025.854,0.1
1,460.5172,0.105,23025.854,0.1
1,460.52423,0.095,23025.852,0.1
1,460.5213,0.07,23025.852,0.1
1,460.51495,0.08,23025.85,0.1
1,460.5209,0.065,23025.852,0.1
1,460.5039,0.105,23025.852,0.1
1,460.5223,0.1,23025.852,0.1
1,460.51495,0.12,23025.854,0.1
1,460.51245,0.07,23025.852,0.1
1,460.52515,0.1,23025.854,0.1
1,460.5131,0.06,23025.85,0.1
1,460.5095,0.11,23025.855,0.1
1,460.52316,0.095,23025.852,0.1
1,460.52158,0.115,23025.855,0.1
1,460.50903,0.15,23025.855,0.1
1,460.51636,0.145,23025.855,0.1
1,460.5291,0.08,23025.854,0.1
1,460.5252,0.105,23025.852,0.1
1,460.51428,0.11,23025.855,0.1
1,460.5174,0.1,23025.854,0.1
1,460.50708,0.115,23025.857,0.1
1,460.5309,0.07,23025.855,0.1
1,460.51636,0.09,23025.855,0.1
1,460.5058,0.085,23025.854,0.1
1,460.5193,0.09,23025.857,0.1
1,460.50092,0.125,23025.854,0.1
1,460.53607,0.085,23025.857,0.1
1,460.51175,0.115,23025.854,0.1
1,460.54465,0.07,23025.854,0.1
1,460.52798,0.1,23025.855,0.1
1,460.5329,0.095,23025.855,0.1
1,460.5099,0.11,23025.852,0.1
1,460.5157,0.08,23025.855,0.1
1,460.51483,0.105,23025.854,0.1
1,460.51782,0.09,23025.854,0.1
1,460.5156,0.095,23025.854,0.1
1,460.5107,0.105,23025.852,0.1
1,460.51407,0.07,23025.852,0.1
1,460.51013,0.09,23025.855,0.1
1,460.53156,0.115,23025.855,0.1
1,460.5231,0.125,23025.855,0.1
1,460.532,0.09,23025.855,0.1
1,460.53064,0.065,23025.852,0.1
1,460.52008,0.1,23025.854,0.1
1,460.5125,0.11,23025.854,0.1
1,460.5136,0.14,23025.852,0.1
1,460.5287,0.075,23025.85,0.1
1,460.51917,0.095,23025.854,0.1
1,460.513,0.08,23025.852,0.1
1,460.50565,0.135,23025.852,0.1
